"","time","day","area","year","air_temp"
"1",6,1,"srimangal",1982,284.159089624379
"2",9,1,"srimangal",1982,287.515195882403
"3",12,1,"srimangal",1982,294.634699950091
"4",15,1,"srimangal",1982,297.990910375841
"5",18,1,"srimangal",1982,295.617761462611
"6",21,1,"srimangal",1982,292.261594184365
"7",0,2,"srimangal",1982,289.888448962918
"8",3,2,"srimangal",1982,286.532299557392
"9",6,2,"srimangal",1982,284.909118587884
"10",9,2,"srimangal",1982,288.158450677178
"11",12,2,"srimangal",1982,295.051448469394
"12",15,2,"srimangal",1982,298.300881412329
"13",18,2,"srimangal",1982,296.003233982962
"14",21,2,"srimangal",1982,292.753842814797
"15",0,3,"srimangal",1982,290.45619895976
"16",3,3,"srimangal",1982,287.206825095696
"17",6,3,"srimangal",1982,283.729078433934
"18",9,3,"srimangal",1982,287.126438348057
"19",12,3,"srimangal",1982,294.333456203997
"20",15,3,"srimangal",1982,297.730921566288
"21",18,3,"srimangal",1982,295.328601625203
"22",21,3,"srimangal",1982,291.931179940788
"23",0,4,"srimangal",1982,289.528863736866
"24",3,4,"srimangal",1982,286.131460144865
"25",6,4,"srimangal",1982,284.649106080916
"26",9,4,"srimangal",1982,287.944545197616
"27",12,4,"srimangal",1982,294.935352517877
"28",15,4,"srimangal",1982,298.2308939193
"29",18,4,"srimangal",1982,295.900643576447
"30",21,4,"srimangal",1982,292.605144542565
"31",0,5,"srimangal",1982,290.27489782476
"32",3,5,"srimangal",1982,286.979416340519
"33",6,5,"srimangal",1982,285.239086333072
"34",9,5,"srimangal",1982,288.60732601936
"35",12,5,"srimangal",1982,295.752569436534
"36",15,5,"srimangal",1982,299.120913667149
"37",18,5,"srimangal",1982,296.739185039844
"38",21,5,"srimangal",1982,293.370884112725
"39",0,6,"srimangal",1982,290.98915919055
"40",3,6,"srimangal",1982,287.620876200767
"41",6,6,"srimangal",1982,287.179112005269
"42",9,6,"srimangal",1982,290.452710951093
"43",12,6,"srimangal",1982,297.39718744228
"44",15,6,"srimangal",1982,300.670887994945
"45",18,6,"srimangal",1982,298.356081137428
"46",21,6,"srimangal",1982,295.082422671517
"47",0,7,"srimangal",1982,292.767619415023
"48",3,7,"srimangal",1982,289.493978382445
"49",6,7,"srimangal",1982,286.959274595854
"50",9,7,"srimangal",1982,289.6334821854
"51",12,7,"srimangal",1982,295.306434812003
"52",15,7,"srimangal",1982,297.980725404321
"53",18,7,"srimangal",1982,296.089756422124
"54",21,7,"srimangal",1982,293.415500210535
"55",0,8,"srimangal",1982,291.524534170019
"56",3,8,"srimangal",1982,288.850292199744
"57",6,8,"srimangal",1982,285.559021823447
"58",9,8,"srimangal",1982,289.165076703724
"59",12,8,"srimangal",1982,296.814811370814
"60",15,8,"srimangal",1982,300.420978176789
"61",18,8,"srimangal",1982,297.871087153608
"62",21,8,"srimangal",1982,294.26496670858
"63",0,9,"srimangal",1982,291.715079652131
"64",3,9,"srimangal",1982,288.108978410907
"65",6,9,"srimangal",1982,285.699030380846
"66",9,9,"srimangal",1982,289.273538347635
"67",12,9,"srimangal",1982,296.856350706062
"68",15,9,"srimangal",1982,300.430969619388
"69",18,9,"srimangal",1982,297.903385852803
"70",21,9,"srimangal",1982,294.328812894844
"71",0,10,"srimangal",1982,291.801233060288
"72",3,10,"srimangal",1982,288.226679138133
"73",6,10,"srimangal",1982,286.509117271361
"74",9,10,"srimangal",1982,289.763302731961
"75",12,10,"srimangal",1982,296.666596263971
"76",15,10,"srimangal",1982,299.920882728852
"77",18,10,"srimangal",1982,297.619803413855
"78",21,10,"srimangal",1982,294.365558786141
"79",0,11,"srimangal",1982,292.064483050812
"80",3,11,"srimangal",1982,288.810255753046
