area,day,mean_temp,hour
srimangal,1,289.9829871,0
srimangal,1,286.6958714,3
srimangal,1,284.4491049,6
srimangal,1,287.7488865,9
srimangal,1,294.7489058,12
srimangal,1,298.0487898,15
srimangal,1,295.7154689,18
srimangal,1,292.4156273,21
srimangal,2,290.0823099,0
srimangal,2,286.7824859,3
srimangal,2,284.7462195,6
srimangal,2,288.011772,9
srimangal,2,294.9391793,12
srimangal,2,298.2048332,15
srimangal,2,295.895716,18
srimangal,2,292.6301041,21
srimangal,3,290.3209905,0
srimangal,3,287.055396,3
srimangal,3,284.8304483,6
srimangal,3,288.028373,9
srimangal,3,294.8123172,12
srimangal,3,298.0103412,15
srimangal,3,295.7490446,18
srimangal,3,292.5510618,21
srimangal,4,290.2897688,0
srimangal,4,287.091803,3
srimangal,4,284.570169,6
srimangal,4,287.8278667,9
srimangal,4,294.7386111,12
srimangal,4,297.99641,15
srimangal,4,295.6928471,18
srimangal,4,292.4350901,21
srimangal,5,290.1315307,0
srimangal,5,286.8737911,3
srimangal,5,284.2677737,6
srimangal,5,287.6243908,9
srimangal,5,294.7449787,12
srimangal,5,298.1017,15
srimangal,5,295.7281898,18
srimangal,5,292.3715117,21
srimangal,6,289.9980052,0
srimangal,6,286.6413449,3
srimangal,6,284.2543517,6
srimangal,6,287.6144811,9
srimangal,6,294.7425198,12
srimangal,6,298.1027536,15
srimangal,6,295.7267598,18
srimangal,6,292.3665693,21
srimangal,7,289.9905792,0
srimangal,7,286.6304065,3
srimangal,7,284.3843444,6
srimangal,7,287.771359,9
srimangal,7,294.9564306,12
srimangal,7,298.3435503,15
srimangal,7,295.9485457,18
srimangal,7,292.5614696,21
srimangal,8,290.1664687,0
srimangal,8,286.7794106,3
srimangal,8,284.4759347,6
srimangal,8,287.8209932,9
srimangal,8,294.9170609,12
srimangal,8,298.2622232,15
srimangal,8,295.8968863,18
srimangal,8,292.551767,21
srimangal,9,290.1864339,0
srimangal,9,286.8413324,3
srimangal,9,284.5554159,6
srimangal,9,287.8726952,9
srimangal,9,294.9098334,12
srimangal,9,298.2272156,15
srimangal,9,295.8815218,18
srimangal,9,292.5641822,21
srimangal,10,290.218492,0
srimangal,10,286.9011701,3
srimangal,10,284.6257033,6
srimangal,10,287.8538338,9
srimangal,10,294.7018555,12
srimangal,10,297.9300862,15
srimangal,10,295.6474307,18
srimangal,10,292.4192415,21
srimangal,11,290.1365895,0
srimangal,11,286.9084175,3
srimangal,11,284.2890844,6
srimangal,11,287.6644764,9
srimangal,11,294.8248925,12
srimangal,11,298.2003893,15
srimangal,11,295.8136031,18
srimangal,11,292.4381498,21
srimangal,12,290.0513673,0
srimangal,12,286.6759319,3
srimangal,12,284.3551489,6
srimangal,12,287.6868606,9
srimangal,12,294.754615,12
srimangal,12,298.0864301,15
srimangal,12,295.7305309,18
srimangal,12,292.3987586,21
srimangal,13,290.0428631,0
srimangal,13,286.7111086,3
srimangal,13,284.1993429,6
srimangal,13,287.5917218,9
srimangal,13,294.7881729,12
srimangal,13,298.1806571,15
srimangal,13,295.7818593,18
srimangal,13,292.3894188,21
srimangal,14,289.9906248,0
srimangal,14,286.5982024,3
srimangal,14,284.2993472,6
srimangal,14,287.6759526,9
srimangal,14,294.8389426,12
srimangal,14,298.2156528,15
srimangal,14,295.8280087,18
srimangal,14,292.4513419,21
srimangal,15,290.0637015,0
srimangal,15,286.6870527,3
srimangal,15,283.9000919,6
srimangal,15,287.4419673,9
srimangal,15,294.9555544,12
srimangal,15,298.4975397,15
srimangal,15,295.9930309,18
srimangal,15,292.451091,21
srimangal,16,289.9465861,0
srimangal,16,286.4046651,3
srimangal,16,284.1166712,6
srimangal,16,287.6572694,9
srimangal,16,295.168147,12
srimangal,16,298.7088552,15
srimangal,16,296.2052494,18
srimangal,16,292.6645868,21
srimangal,17,290.160985,0
srimangal,17,286.6203413,3
srimangal,17,284.6832767,6
srimangal,17,288.1258496,9
srimangal,17,295.4287804,12
srimangal,17,298.8714601,15
srimangal,17,296.4371695,18
srimangal,17,292.994534,21
srimangal,18,290.5602471,0
srimangal,18,287.11763,3
srimangal,18,284.4887985,6
srimangal,18,287.9481666,9
srimangal,18,295.2867261,12
srimangal,18,298.7462015,15
srimangal,18,296.3000347,18
srimangal,18,292.8406037,21
srimangal,19,290.3944407,0
srimangal,19,286.9350281,3
srimangal,19,284.6195879,6
srimangal,19,288.0792114,9
srimangal,19,295.4183128,12
srimangal,19,298.8780437,15
srimangal,19,296.4316963,18
srimangal,19,292.9720098,21
srimangal,20,290.5256662,0
srimangal,20,287.0659982,3
srimangal,20,284.4553699,6
srimangal,20,287.942581,9
srimangal,20,295.3402055,12
srimangal,20,298.8275249,15
srimangal,20,296.3616699,18
srimangal,20,292.8743954,21
srimangal,21,290.4085442,0
srimangal,21,286.9212882,3
srimangal,21,284.3714408,6
srimangal,21,287.7910879,9
srimangal,21,295.0453849,12
srimangal,21,298.4651381,15
srimangal,21,296.0470586,18
srimangal,21,292.6273493,21
srimangal,22,290.2092736,0
srimangal,22,286.7895825,3
srimangal,22,284.1279851,6
srimangal,22,287.6752887,9
srimangal,22,295.2003907,12
srimangal,22,298.7478043,15
srimangal,22,296.2394572,18
srimangal,22,292.6920892,21
srimangal,23,290.1837459,0
srimangal,23,286.6363968,3
srimangal,23,284.1982446,6
srimangal,23,287.7591504,9
srimangal,23,295.3131075,12
srimangal,23,298.8741238,15
srimangal,23,296.3561584,18
srimangal,23,292.7951879,21
srimangal,24,290.2772263,0
srimangal,24,286.7162748,3
srimangal,24,284.384566,6
srimangal,24,287.9246534,9
srimangal,24,295.4344473,12
srimangal,24,298.9746445,15
srimangal,24,296.4714,18
srimangal,24,292.9312483,21
srimangal,25,290.4280077,0
srimangal,25,286.8878749,3
srimangal,25,284.3743023,6
srimangal,25,287.916497,9
srimangal,25,295.4307614,12
srimangal,25,298.9730661,15
srimangal,25,296.4683315,18
srimangal,25,292.9260723,21
srimangal,26,290.4213416,0
srimangal,26,286.8791013,3
srimangal,26,284.1321577,6
srimangal,26,287.8194427,9
srimangal,26,295.6414955,12
srimangal,26,299.3288949,15
srimangal,26,296.721565,18
srimangal,26,293.034213,21
srimangal,27,290.4268871,0
srimangal,27,286.7395547,3
srimangal,27,284.2868847,6
srimangal,27,288.0103146,9
srimangal,27,295.9090436,12
srimangal,27,299.632589,15
srimangal,27,296.9997005,18
srimangal,27,293.276203,21
srimangal,28,290.6433186,0
srimangal,28,286.9198409,3
srimangal,28,284.5708377,6
srimangal,28,288.2736407,9
srimangal,28,296.1286128,12
srimangal,28,299.8315307,15
srimangal,28,297.2132278,18
srimangal,28,293.5103575,21
srimangal,29,290.8920586,0
srimangal,29,287.189208,3
srimangal,29,284.8145318,6
srimangal,29,288.4808706,9
srimangal,29,296.2584892,12
srimangal,29,299.9249419,15
srimangal,29,297.3324232,18
srimangal,29,293.6660177,21
srimangal,30,291.0735031,0
srimangal,30,287.4071171,3
srimangal,30,285.1843048,6
srimangal,30,288.7172398,9
srimangal,30,296.211861,12
srimangal,30,299.7449057,15
srimangal,30,297.2467188,18
srimangal,30,293.7137195,21
srimangal,31,291.2155364,0
srimangal,31,287.682556,3
srimangal,31,285.2058557,6
srimangal,31,288.8422442,9
srimangal,31,296.5563272,12
srimangal,31,300.1928285,15
srimangal,31,297.6214882,18
srimangal,31,293.9850336,21
srimangal,32,291.4136973,0
srimangal,32,287.7772621,3
srimangal,32,285.4808696,6
srimangal,32,289.0658507,9
srimangal,32,296.6708802,12
srimangal,32,300.2559725,15
srimangal,32,297.720983,18
srimangal,32,294.1359368,21
srimangal,33,291.6009514,0
srimangal,33,288.0159242,3
srimangal,33,285.5961331,6
srimangal,33,289.1799647,9
srimangal,33,296.7825557,12
srimangal,33,300.3664985,15
srimangal,33,297.8323219,18
srimangal,33,294.2484252,21
srimangal,34,291.7142525,0
srimangal,34,288.1303749,3
srimangal,34,285.6679761,6
srimangal,34,289.2484869,9
srimangal,34,296.8440335,12
srimangal,34,300.4246555,15
srimangal,34,297.892827,18
srimangal,34,294.3122511,21
srimangal,35,291.7804265,0
srimangal,35,288.1998697,3
srimangal,35,285.7105974,6
srimangal,35,289.3289135,9
srimangal,35,297.0046584,12
srimangal,35,300.6230868,15
srimangal,35,298.0645257,18
srimangal,35,294.4461439,21
srimangal,36,291.8875868,0
srimangal,36,288.2692243,3
srimangal,36,286.0621774,6
srimangal,36,289.6767895,9
srimangal,36,297.3446772,12
srimangal,36,300.9594016,15
srimangal,36,298.4034596,18
srimangal,36,294.7887817,21
srimangal,37,292.2328437,0
srimangal,37,288.6181851,3
srimangal,37,285.9726803,6
srimangal,37,289.673759,9
srimangal,37,297.5250735,12
srimangal,37,301.2262671,15
srimangal,37,298.6091834,18
srimangal,37,294.9080373,21
srimangal,38,292.2909576,0
srimangal,38,288.5898313,3
srimangal,38,286.3619149,6
srimangal,38,289.9739727,9
srimangal,38,297.6364415,12
srimangal,38,301.2486114,15
srimangal,38,298.6944757,18
srimangal,38,295.0823523,21
srimangal,39,292.5282205,0
srimangal,39,288.9161163,3
srimangal,39,286.3116296,6
srimangal,39,290.005556,9
srimangal,39,297.8416978,12
srimangal,39,301.5357389,15
srimangal,39,298.9237126,18
srimangal,39,295.229719,21
srimangal,40,292.6176969,0
srimangal,40,288.9237229,3
srimangal,40,286.4108472,6
srimangal,40,290.0786548,9
srimangal,40,297.8593892,12
srimangal,40,301.5273107,15
srimangal,40,298.9337535,18
srimangal,40,295.2658791,21
srimangal,41,292.6723259,0
srimangal,41,289.0044711,3
srimangal,41,286.5784727,6
srimangal,41,290.2685037,9
srimangal,41,298.0963818,12
srimangal,41,301.7865273,15
srimangal,41,299.1772556,18
srimangal,41,295.4871575,21
srimangal,42,292.8778899,0
srimangal,42,289.1878115,3
srimangal,42,286.5660827,6
srimangal,42,290.3356196,9
srimangal,42,298.3321581,12
srimangal,42,302.101812,15
srimangal,42,299.4363206,18
srimangal,42,295.6667152,21
srimangal,43,293.001228,0
srimangal,43,289.2316427,3
srimangal,43,286.6879444,6
srimangal,43,290.3853832,9
srimangal,43,298.2289758,12
srimangal,43,301.9265293,15
srimangal,43,299.3120195,18
srimangal,43,295.6145135,21
srimangal,44,293.0000077,0
srimangal,44,289.3025214,3
srimangal,44,286.7789895,6
srimangal,44,290.5041436,9
srimangal,44,298.4065303,12
srimangal,44,302.1318,15
srimangal,44,299.4976923,18
srimangal,44,295.7724705,21
srimangal,45,293.1383669,0
srimangal,45,289.4131649,3
srimangal,45,287.1703026,6
srimangal,45,290.9056104,9
srimangal,45,298.8295368,12
srimangal,45,302.5649606,15
srimangal,45,299.9236731,18
srimangal,45,296.1882973,21
srimangal,46,293.5470139,0
srimangal,46,289.811658,3
srimangal,46,287.7561179,6
srimangal,46,291.395891,9
srimangal,46,299.1171539,12
srimangal,46,302.75704,15
srimangal,46,300.1833064,18
srimangal,46,296.5434671,21
srimangal,47,293.9697375,0
srimangal,47,290.3299177,3
srimangal,47,287.845066,6
srimangal,47,291.4822846,9
srimangal,47,299.1981288,12
srimangal,47,302.8354603,15
srimangal,47,300.263533,18
srimangal,47,296.6262482,21
srimangal,48,294.0543249,0
srimangal,48,290.4170595,3
srimangal,48,288.0174498,6
srimangal,48,291.5978968,9
srimangal,48,299.1933079,12
srimangal,48,302.773866,15
srimangal,48,300.2420827,18
srimangal,48,296.6615706,21
srimangal,49,294.1297912,0
srimangal,49,290.5492982,3
srimangal,49,288.0182288,6
srimangal,49,291.6374389,9
srimangal,49,299.3150804,12
srimangal,49,302.9344028,15
srimangal,49,300.3752096,18
srimangal,49,296.7559337,21
srimangal,50,294.1967444,0
srimangal,50,290.5774878,3
srimangal,50,288.1019105,6
srimangal,50,291.7303164,9
srimangal,50,299.4274657,12
srimangal,50,303.0559842,15
srimangal,50,300.4902885,18
srimangal,50,296.8618166,21
srimangal,51,294.2961248,0
srimangal,51,290.6676722,3
srimangal,51,287.9837482,6
srimangal,51,291.6284385,9
srimangal,51,299.3601326,12
srimangal,51,303.004936,15
srimangal,51,300.4277254,18
srimangal,51,296.7829688,21
srimangal,52,294.2057622,0
srimangal,52,290.5610251,3
srimangal,52,288.1574289,6
srimangal,52,291.8150189,9
srimangal,52,299.5740781,12
srimangal,52,303.2317816,15
srimangal,52,300.6454494,18
srimangal,52,296.9877929,21
srimangal,53,294.4014647,0
srimangal,53,290.7438276,3
srimangal,53,288.1021522,6
srimangal,53,291.8096808,9
srimangal,53,299.6746778,12
srimangal,53,303.3823215,15
srimangal,53,300.760677,18
srimangal,53,297.0530809,21
srimangal,54,294.4314405,0
srimangal,54,290.7238641,3
srimangal,54,288.0231814,6
srimangal,54,291.8169213,9
srimangal,54,299.8648031,12
srimangal,54,303.6586607,15
srimangal,54,300.976055,18
srimangal,54,297.1822462,21
srimangal,55,294.4996447,0
srimangal,55,290.7058561,3
srimangal,55,288.4776816,6
srimangal,55,292.1737793,9
srimangal,55,300.014527,12
srimangal,55,303.7107394,15
srimangal,55,301.0971779,18
srimangal,55,297.401013,21
srimangal,56,294.7874556,0
srimangal,56,291.0913103,3
srimangal,56,288.188179,6
srimangal,56,291.990987,9
srimangal,56,300.0581055,12
srimangal,56,303.8610315,15
srimangal,56,301.1720137,18
srimangal,56,297.3691365,21
srimangal,57,294.6801229,0
srimangal,57,290.877266,3
srimangal,57,289.0500834,6
srimangal,57,292.6232503,9
srimangal,57,300.2032178,12
srimangal,57,303.7764956,15
srimangal,57,301.2498601,18
srimangal,57,297.6766282,21
srimangal,58,295.1499967,0
srimangal,58,291.5767838,3
srimangal,58,289.0903254,6
srimangal,58,292.7414017,9
srimangal,58,300.4866429,12
srimangal,58,304.1378325,15
srimangal,58,301.5561062,18
srimangal,58,297.9049635,21
srimangal,59,295.3232413,0
srimangal,59,291.6721181,3
srimangal,59,288.946608,6
srimangal,59,292.7199765,9
srimangal,59,300.7246432,12
srimangal,59,304.4981288,15
srimangal,59,301.8299281,18
srimangal,59,298.056491,21
srimangal,60,295.3882944,0
srimangal,60,291.6148774,3
srimangal,60,288.883173,6
srimangal,60,292.7080128,9
srimangal,60,300.8218685,12
srimangal,60,304.646827,15
srimangal,60,301.9422302,18
srimangal,60,298.1173209,21
srimangal,61,295.4127283,0
srimangal,61,291.5878394,3
srimangal,61,289.3108019,6
srimangal,61,293.1453484,9
srimangal,61,301.2797957,12
srimangal,61,305.1144612,15
srimangal,61,302.4030006,18
srimangal,61,298.5683844,21
srimangal,62,295.856928,0
srimangal,62,292.0223323,3
srimangal,62,289.2229091,6
srimangal,62,293.0504948,9
srimangal,62,301.1701758,12
srimangal,62,304.9978804,15
srimangal,62,302.2913418,18
srimangal,62,298.4636865,21
srimangal,63,295.7571522,0
srimangal,63,291.9295172,3
srimangal,63,289.4184424,6
srimangal,63,293.2201648,9
srimangal,63,301.2849804,12
srimangal,63,305.0868207,15
srimangal,63,302.3985705,18
srimangal,63,298.596779,21
srimangal,64,295.908533,0
srimangal,64,292.1067618,3
srimangal,64,289.543445,6
srimangal,64,293.3357161,9
srimangal,64,301.380482,12
srimangal,64,305.1728708,15
srimangal,64,302.4913037,18
srimangal,64,298.6989637,21
srimangal,65,296.0174008,0
srimangal,65,292.225081,3
srimangal,65,289.8405592,6
srimangal,65,293.6000061,9
srimangal,65,301.5751404,12
srimangal,65,305.334704,15
srimangal,65,302.6763473,18
srimangal,65,298.916832,21
srimangal,66,296.2584795,0
srimangal,66,292.4989842,3
srimangal,66,290.1139928,6
srimangal,66,293.8270134,9
srimangal,66,301.7036608,12
srimangal,66,305.4167967,15
srimangal,66,302.7912687,18
srimangal,66,299.0781806,21
srimangal,67,296.4526567,0
srimangal,67,292.7395883,3
srimangal,67,289.8150002,6
srimangal,67,293.6946958,9
srimangal,67,301.9249206,12
srimangal,67,305.8047366,15
srimangal,67,303.0613505,18
srimangal,67,299.1815843,21
srimangal,68,296.4382024,0
srimangal,68,292.5584569,3
srimangal,68,289.6575901,6
srimangal,68,293.6911248,9
srimangal,68,302.2476974,12
srimangal,68,306.2813573,15
srimangal,68,303.4291894,18
srimangal,68,299.3955813,21
srimangal,69,296.5434179,0
srimangal,69,292.5098313,3
srimangal,69,290.268134,6
srimangal,69,294.2369145,9
srimangal,69,302.6561202,12
srimangal,69,306.6250239,15
srimangal,69,303.8186446,18
srimangal,69,299.8497919,21
srimangal,70,297.043417,0
srimangal,70,293.0745854,3
srimangal,70,290.9797703,6
srimangal,70,294.7368545,9
srimangal,70,302.7069763,12
srimangal,70,306.464177,15
srimangal,70,303.8074912,18
srimangal,70,300.0503387,21
srimangal,71,297.393657,0
srimangal,71,293.6365245,3
srimangal,71,291.0495051,6
srimangal,71,294.8142524,9
srimangal,71,302.8006307,12
srimangal,71,306.5654949,15
srimangal,71,303.9033903,18
srimangal,71,300.1385745,21
srimangal,72,297.4764739,0
srimangal,72,293.7116782,3
srimangal,72,291.2484674,6
srimangal,72,294.9582311,9
srimangal,72,302.8279695,12
srimangal,72,306.5378484,15
srimangal,72,303.9146234,18
srimangal,72,300.2047922,21
srimangal,73,297.5815713,0
srimangal,73,293.8717598,3
srimangal,73,291.47189,6
srimangal,73,295.1758425,9
srimangal,73,303.0332531,12
srimangal,73,306.7373205,15
srimangal,73,304.1182048,18
srimangal,73,300.4141849,21
srimangal,74,297.7950732,0
srimangal,74,294.0910731,3
srimangal,74,292.0040042,6
srimangal,74,295.6750049,9
srimangal,74,303.4625128,12
srimangal,74,307.1336274,15
srimangal,74,304.5378123,18
srimangal,74,300.8667449,21
srimangal,75,298.2709339,0
srimangal,75,294.599886,3
srimangal,75,292.356401,6
srimangal,75,295.9229264,9
srimangal,75,303.488805,12
srimangal,75,307.0554411,15
srimangal,75,304.5335019,18
srimangal,75,300.9669116,21
srimangal,76,298.4449763,0
srimangal,76,294.878405,3
srimangal,76,291.7700107,6
srimangal,76,295.6111986,9
srimangal,76,303.7597348,12
srimangal,76,307.601042,15
srimangal,76,304.8848851,18
srimangal,76,301.0436273,21
srimangal,77,298.3274747,0
srimangal,77,294.4862374,3
srimangal,77,291.7576432,6
srimangal,77,295.5953188,9
srimangal,77,303.7364041,12
srimangal,77,307.5741989,15
srimangal,77,304.8605257,18
srimangal,77,301.0227802,21
srimangal,78,298.3091112,0
srimangal,78,294.4713862,3
srimangal,78,292.0600025,6
srimangal,78,295.9313963,9
srimangal,78,304.1440099,12
srimangal,78,308.0155238,15
srimangal,78,305.278008,18
srimangal,78,301.4065438,21
srimangal,79,298.6690323,0
srimangal,79,294.7975887,3
srimangal,79,292.5892596,6
srimangal,79,296.2888058,9
srimangal,79,304.1368689,12
srimangal,79,307.8365299,15
srimangal,79,305.2205299,18
srimangal,79,301.5209165,21
srimangal,80,298.9049206,0
srimangal,80,295.2053269,3
srimangal,80,292.9479439,6
srimangal,80,296.6471708,9
srimangal,80,304.4945565,12
srimangal,80,308.1938982,15
srimangal,80,305.578124,18
srimangal,80,301.8788299,21
srimangal,81,299.2630598,0
srimangal,81,295.5637854,3
srimangal,81,293.0013717,6
srimangal,81,296.6756931,9
srimangal,81,304.4702455,12
srimangal,81,308.1446809,15
srimangal,81,305.5465177,18
srimangal,81,301.8721295,21
srimangal,82,299.2739704,0
srimangal,82,295.5996017,3
srimangal,82,293.3514127,6
srimangal,82,296.8748325,9
srimangal,82,304.3492687,12
srimangal,82,307.8727979,15
srimangal,82,305.3813392,18
srimangal,82,301.8578553,21
srimangal,83,299.3664005,0
srimangal,83,295.8429354,3
srimangal,83,293.3050903,6
srimangal,83,296.8525855,9
srimangal,83,304.3780939,12
srimangal,83,307.9256991,15
srimangal,83,305.4172165,18
srimangal,83,301.8696569,21
srimangal,84,299.3611782,0
srimangal,84,295.8136375,3
srimangal,84,293.5290642,6
srimangal,84,296.9787895,9
srimangal,84,304.2968929,12
srimangal,84,307.7467252,15
srimangal,84,305.3073771,18
srimangal,84,301.8575891,21
srimangal,85,299.4182447,0
srimangal,85,295.9684751,3
srimangal,85,293.3816571,6
srimangal,85,296.9740459,9
srimangal,85,304.5947899,12
srimangal,85,308.1872903,15
srimangal,85,305.6470627,18
srimangal,85,302.0546086,21
srimangal,86,299.514385,0
srimangal,86,295.92195,3
srimangal,86,293.7211832,6
srimangal,86,297.1205227,9
srimangal,86,304.3317402,12
srimangal,86,307.7311853,15
srimangal,86,305.3274655,18
srimangal,86,301.9280641,21
srimangal,87,299.524348,0
srimangal,87,296.1249648,3
srimangal,87,293.9316935,6
srimangal,87,297.3899121,9
srimangal,87,304.7260332,12
srimangal,87,308.1843591,15
srimangal,87,305.7390051,18
srimangal,87,302.2807236,21
srimangal,88,299.8353735,0
srimangal,88,296.3771104,3
srimangal,88,294.1798538,6
srimangal,88,297.6292597,9
srimangal,88,304.9466858,12
srimangal,88,308.3961988,15
srimangal,88,305.9570764,18
srimangal,88,302.5076078,21
srimangal,89,300.0684892,0
srimangal,89,296.6190389,3
srimangal,89,294.337267,6
srimangal,89,297.6214668,9
srimangal,89,304.5884313,12
srimangal,89,307.872733,15
srimangal,89,305.5504302,18
srimangal,89,302.2661707,21
srimangal,90,299.9438715,0
srimangal,90,296.6596296,3
srimangal,90,294.5488827,6
srimangal,90,297.6976989,9
srimangal,90,304.3774665,12
srimangal,90,307.5263805,15
srimangal,90,305.2998092,18
srimangal,90,302.1509357,21
srimangal,91,299.9243679,0
srimangal,91,296.7755112,3
